name,sku,barcode,category,supplier,qty,cost,price,brand,volume_ml,unit,fragrantica_id,_processed
Универсальный парфюм Megamare 50 ml,uni-parfum-megamare,4780071942152,Домашний парфюм,Uniderm,7,62920,90000,labor,,Штука,,1
Универсальный парфюм  Symphony 50 ml,uni-parfum-symphony,4780071942114,Домашний парфюм,Uniderm,0,62920,90000,labor,,Штука,,1
Универсальный парфюм Molecule 02 50 ml,uni-parfum-molecule,4780071942138,Домашний парфюм,Uniderm,1,62920,90000,labor,,Штука,,1
Универсальный парфюм Ombre Leather 50 ml,uni-parfum-ombre,4780071942039,Домашний парфюм,Uniderm,0,62920,67600,labor,,Штука,,1
Универсальный парфюм Ganymed 50 ml,uni-parfum-ganymed,4780071942060,Домашний парфюм,Uniderm,6,62920,67600,labor,,Штука,,1
Универсальный парфюм My Way 50 ml,uni-parfum-myway,4780071942053,Домашний парфюм,Uniderm,0,62920,90000,labor,,Штука,,1
Универсальный парфюм Black Code 50 ml,uni-parfum-code,4780071941964,Домашний парфюм,Uniderm,6,36300,90000,labor,,Штука,,1
Универсальный парфюм  Black Afgano 50 ml,uni-parfum-afgano,4780071941971,Домашний парфюм,Uniderm,6,36300,90000,labor,,Штука,,1
Универсальный парфюм TYGAR 50 ml,uni-parfum-tyger,4780071942008,Домашний парфюм,Uniderm,0,36300,90000,labor,,Штука,,1
Kissing Burns 6.4 Calories,kissin 6.4-bykilian,2000000004204,Parfum,Labor sklad,657,2420,16000,Kilian,,Милллилитр,,1
Roses on Ice By Kilian,roses-bykilian,2000000004198,Parfum,Labor sklad,700,2420,16000,Kilian,,Милллилитр,,1
Diffuzor Rosso Nobili,диффузор-россо,2000000004181,aroma diffizor,Uniderm,0,177870,250000,labor,,Штука,,1
Домашний парфюм Tygar 220 ml,domashpr-tyger,4780071941919,Домашний парфюм,"Labor sklad, Uniderm",3,56265,100000,labor,,Штука,,1
флакон 20 мл c парфюм,флакон20мл,2000000004167,flakon,Labor sklad,13,181500,300000,labor,,Штука,,1
Indian Venus Haute Fragrance Company HFC,indian-hfc,2000000004143,Parfum,Labor sklad,441,2420,16000,HFC,,Милллилитр,,1
Angels' Share By Kilian,angels-kilian,2000000004136,Parfum,Labor sklad,436,2420,16000,Kilian,,Милллилитр,,1
More Than Words Xerjoff,morethan-xerjof,2000000004129,Parfum,Labor sklad,467,2420,16000,Xerjoff,,Милллилитр,,1
Delina Exclusif Parfums de Marly,del-exclusif-marly,2000000004112,Parfum,Labor sklad,468,2420,16000,Parfums de Marly,,Милллилитр,,1
Универсальный парфюм Montabaco 50 ml,uni-parfum-montabaco,4780071941957,Домашний парфюм,Uniderm,0,60500,90000,labor,,Штука,,1
Универсальный парфюм Good Girl Gone Bad 50 ml,uni-parfum-good girl,4780071942084,Домашний парфюм,Uniderm,4,36300,90000,labor,,Штука,,1
Универсальный парфюм Limmensite 50 ml,uni-parfum-limmensite,4780071942121,Домашний парфюм,Uniderm,1,60500,90000,labor,,Штука,,1
Универсальный парфюм Aventus 50 ml,uni-parfum-aventus,4780071941988,Домашний парфюм,Uniderm,3,36300,90000,labor,,Штука,,1
Универсальный парфюм Sauvage 50 ml,uni-parfum-sauvage,4780071942077,Домашний парфюм,Uniderm,8,60500,90000,labor,,Штука,,1
Универсальный парфюм Tobacco Vanille 50 ml,uni-parfum-tobaccovanil,4780071941940,Домашний парфюм,Uniderm,0,36300,90000,labor,,Штука,,1
Универсальный парфюм Flora 50 ml,uni-parfum-flora,4780071942046,Домашний парфюм,Uniderm,2,36300,90000,labor,,Штука,,1
Универсальный парфюм Elysium 50 ml,uni-parfum-eleysium,4780071942107,Домашний парфюм,Uniderm,0,60500,90000,labor,,Штука,,1
Крем парфюмированный Eyphoria,krem-eyphoria,2000000004068,krem,Labor sklad,18,2420,180000,Casa Tito,,Штука,,1
Крем парфюмированный Ecstasy,krem-ecstasy,2000000004051,krem,Labor sklad,17,121000,180000,Casa Tito,,Штука,,1
Флакон луи виттон для парфюма кожаный,flakon-koja-louivitton,2000000004044,flakon,Labor sklad,52,60500,100000,labor,,Штука,,1
Флакон квадрат для парфюма кожаный,flakon-koja-kvadrat,2000000004037,flakon,Labor sklad,62,60500,100000,labor,,Штука,,1
Флакон зеленый для парфюма кожаный,flakon-koja-zeleniy,2000000004020,flakon,Labor sklad,22,60500,100000,labor,,Штука,,1
Флакон розовый для парфюма кожаный,flakon-koja-roziviy,2000000004013,flakon,Labor sklad,36,60500,100000,labor,,Штука,,1
Флакон оранжевый для парфюма кожаный,flakon-koja-orang,2000000004006,flakon,Labor sklad,48,60500,100000,labor,,Штука,,1
Mango Skin Vilhelm Parfumerie,mangoskin-vilhelm,2000000003955,Parfum,Labor sklad,470,2420,16000,Vilhelm Parfumerie,,Милллилитр,,1
Cedre Atlas Atelier Cologne,cedreatlas-cologne,2000000003948,Parfum,Labor sklad,118,2420,16000,Atelier Cologne,,Милллилитр,,1
Gran Ballo Casa Moratti,granballo-casa,2000000003931,Parfum,Labor sklad,610,2420,16000,Xerjoff,,Милллилитр,,1
Replica Lazy Sunday Morning Maison Martin Margiela,replicalazy-maison,2000000003924,Parfum,Labor sklad,24,2420,16000,Maison Margiela,,Милллилитр,,1
Dear Polly Vilhelm Parfumerie,dearpilly-vilhe,2000000003917,Parfum,Labor sklad,40,2420,16000,Vilhelm Parfumerie,,Милллилитр,,1
